route_id,linie,bemerkung
de:vrn:01085:t,RNV 85,Ruftaxi Ludwigshafen LU Oppau - LU Oppau West
de:vrn:02103:t,RNV 1003,Ruftaxi Mannheim Alteichwaldsiedlung - Friedrichsfeld
de:vrn:02104:,RNV 1004,Ruftaxi Heidelberg Bismarckplatz - Speyererhof
de:vrn:02107:,RNV 1007,Ruftaxi Heidelberg Bismarckplatz - Koenigstuhl
de:vrn:02108:,RNV 1008,Ruftaxi Heidelberg Handschuhsheim H.-Thoma-Platz
de:vrn:02109:,RNV 1009,Ruftaxi Heidelberg Wieblingen - S-Bahnhof Wieblingen
de:vrn:02110:,RNV 1010,Ruftaxi Heidelberg Rohrbach Markt - Berghalde
de:vrn:02111:,RNV 1011,Ruftaxi Heidelberg Kirchheimer Hof - Kirchheim Rathaus
de:vrn:02113:,RNV 1013,Ruftaxi Heidelberg Wieblingen Mitte - Wieblingen Gewerbegebiet
de:vrn:011071:,RNV 1071,Ruftaxi Ludwigshafen LU Rathaus - Ebertpark Sued
de:vrn:011072:,RNV 1072,Ruftaxi Ludwigshafen LU Ruchheim - Oggersheim
de:vrn:011077:,RNV 1077,Ruftaxi Ludwigshafen LU Berliner Platz - Rheinallee
